 23 3589.742676 1.550E-30 8.989E+00.06550.074 4066.42800.74-.004930       3 1 1 13       2 1 1 03                    P 50e     3655532432 9 9 711    99.0  101.0
 24 3589.749604 3.152E-24 8.297E+00.09030.123    2.27170.69-.003216       1 0 0 12       0 0 0 01                    P  2e     3766632432 9 9 711    18.0   30.0
 21 3589.761189 2.827E-30 8.002E-03.07400.100 3562.22070.70-.003302       3 4 4 01       1 3 3 01                    P 17e     3666632429 9 9 711    33.0   35.0
 22 3589.782793 1.590E-28 9.802E-03.06260.068 2123.83470.71-.005730       0 3 3 11       0 1 1 01                    R 61e     3655532431 9 9 711   250.0  246.0
 21 3589.789307 2.642E-29 1.002E+01.05390.063 4915.30060.62-.006444       2 1 1 13       1 1 1 02                    R 87e     3555532433 9 9 711   177.0  175.0
 21 3589.792719 3.291E-30 9.699E-02.06680.078 4238.86550.75-.003630       5 0 0 01       2 1 1 01                    P 43e     3665632429 9 9 711    85.0   87.0
 22 3589.795810 4.280E-30 2.613E-02.06990.091 2892.72080.73-.003386       3 3 3 01       0 4 4 01                    P 27f     3666632431 9 9 711   106.0  110.0
 21 3589.805157 1.150E-30 1.067E-01.05950.066 4584.64630.68-.004726       3 3 3 02       1 2 2 02                    R 71f     3655532429 9 9 711   145.0  143.0
 23 3589.819436 2.308E-28 1.279E+01.06650.077 3087.74840.74-.004803       1 0 0 21       0 0 0 11                    P 45e     3665632432 9 9 711    89.0   91.0
 24 3589.821060 3.441E-26 6.167E+00.06550.074 1594.01480.74-.005217       1 1 1 12       0 1 1 01                    R 49f     4765632432 9 9 711   606.0  594.0
 22 3589.838692 1.710E-30 7.657E+00.06810.084 4304.37720.74-.004554       2 4 4 12       1 4 4 02                    P 35f     3666632431 9 9 711   138.0  142.0
 24 3589.839890 1.386E-29 5.062E-03.06490.072 1748.47610.73-.005056       0 3 3 11       0 1 1 01                    P 53e     3655532432 9 9 711   630.0  642.0
 22 3589.846729 5.520E-23 9.248E+00.06630.076  843.07000.74-.004829       1 0 0 11       0 0 0 01                    P 46e     3765632431 9 9 711   182.0  186.0
 22 3589.851958 2.350E-26 8.638E+00.06470.071 2459.18390.73-.005031       1 2 2 11       0 2 2 01                    P 54e     4755532431 9 9 711   214.0  218.0
 23 3589.857411 6.740E-30 1.926E+01.07660.104 3637.62200.68-.004029       2 0 0 22       1 0 0 12                    P 13e     3666632432 9 9 711    25.0   27.0
 24 3589.870084 1.127E-30 1.307E-03.06750.081 1922.36620.75-.004699       0 4 4 11       0 2 2 01                    P 39f     3666632432 9 9 711   462.0  474.0
 24 3589.874639 1.128E-30 1.308E-03.06750.081 1922.36160.75-.004699       0 4 4 11       0 2 2 01                    P 39e     3666632432 9 9 711   462.0  474.0
 22 3589.876356 2.640E-30 1.849E+01.07590.103 4218.05000.68-.003065       2 1 1 22       1 1 1 12                    R 13f     3666632431 9 9 711    58.0   54.0
 22 3589.895766 1.870E-29 1.494E+01.06750.081 3972.36180.75-.004653       2 3 3 11       1 3 3 01                    P 39e     3666632431 9 9 711   154.0  158.0
 22 3589.900942 1.520E-28 1.841E+01.07520.102 3383.28980.69-.004083       3 1 1 12       2 1 1 02                    P 15e     3666632431 9 9 711    58.0   62.0
 22 3589.901327 1.370E-29 5.320E-02.06530.073 2932.32240.74-.003818       3 2 2 01       1 1 1 02                    P 51e     3655532431 9 9 711   202.0  206.0
 23 3589.913881 6.768E-30 1.310E+01.06370.070 3871.39650.72-.005130       3 0 0 12       2 0 0 02                    P 58e     3655532432 9 9 711   115.0  117.0
 22 3589.917131 6.270E-30 5.150E-02.06970.090 2961.40430.73-.003441       4 1 1 01       2 0 0 02                    P 28e     3366632430 9 9 711   110.0  114.0
