Time - ADC Voltage	Amplitude - ADC Voltage
27,7000000	1,1883545
27,8000000	1,1923218
27,9000000	1,1965942
28,0000000	1,1996460
28,1000000	1,2040710
28,2000000	1,2080383
28,3000000	1,2115479
28,4000000	1,2155151
28,5000000	1,2191772
28,6000000	1,2231445
28,7000000	1,2269592
28,8000000	1,2301636
28,9000000	1,2339783
29,0000000	1,2379456
29,1000000	1,2414551
29,2000000	1,2454224
29,3000000	1,2490845
29,4000000	1,2527466
29,5000000	1,2556458
29,6000000	1,2597656
29,7000000	1,2635803
29,8000000	1,2673950
29,9000000	1,2713623
30,0000000	1,2750244
30,1000000	1,2785339
30,2000000	1,2829590
30,3000000	1,2866211
30,4000000	1,2910461
30,5000000	1,2951660
30,6000000	1,2983704
30,7000000	1,3023376
30,8000000	1,3058472
30,9000000	1,3099670
31,0000000	1,3139343
31,1000000	1,3180542
31,2000000	1,3221741
31,3000000	1,3270569
31,4000000	1,3314819
31,5000000	1,3357544
31,6000000	1,3404846
31,7000000	1,3447571
31,8000000	1,3496399
31,9000000	1,3549805
32,0000000	1,3595581
32,1000000	1,3647461
32,2000000	1,3702393
32,3000000	1,3754272
32,4000000	1,3807678
32,5000000	1,3865662
32,6000000	1,3923645
32,7000000	1,3977051
32,8000000	1,4039612
32,9000000	1,4096069
33,0000000	1,4158630
33,1000000	1,4224243
33,2000000	1,4283752
33,3000000	1,4349365
33,4000000	1,4419556
33,5000000	1,4480591
33,6000000	1,4553833
33,7000000	1,4619446
33,8000000	1,4691162
33,9000000	1,4764404
34,0000000	1,4834595
34,1000000	1,4901733
34,2000000	1,4981079
34,3000000	1,5055847
34,4000000	1,5126038
34,5000000	1,5203857
34,6000000	1,5274048
34,7000000	1,5348816
34,8000000	1,5425110
34,9000000	1,5499878
35,0000000	1,5576172
35,1000000	1,5658569
35,2000000	1,5731812
35,3000000	1,5806580
35,4000000	1,5892029
35,5000000	1,5963745
35,6000000	1,6044617
35,7000000	1,6119385
35,8000000	1,6197205
35,9000000	1,6278076
36,0000000	1,6352844
36,1000000	1,6429138
36,2000000	1,6508484
36,3000000	1,6586304
36,4000000	1,6665649
36,5000000	1,6741943
36,6000000	1,6818237
36,7000000	1,6894531
36,8000000	1,6973877
36,9000000	1,7048645
37,0000000	1,7124939
37,1000000	1,7201233
37,2000000	1,7274475
37,3000000	1,7350769
37,4000000	1,7428589
37,5000000	1,7500305
37,6000000	1,7575073
37,7000000	1,7657471
37,8000000	1,7723083
37,9000000	1,7800903
38,0000000	1,7881775
38,1000000	1,7950439
38,2000000	1,8028259
38,3000000	1,8109131
38,4000000	1,8190002
38,5000000	1,8266296
38,6000000	1,8333435
38,7000000	1,8403625
38,8000000	1,8464661
38,9000000	1,8531799
39,0000000	1,8600464
39,1000000	1,8673706
39,2000000	1,8742371
39,3000000	1,8818665
39,4000000	1,8888855
39,5000000	1,8954468
39,6000000	1,9026184
39,7000000	1,9099426
39,8000000	1,9166565
39,9000000	1,9233704
40,0000000	1,9305420
40,1000000	1,9369507
40,2000000	1,9441223
40,3000000	1,9512939
40,4000000	1,9573975
40,5000000	1,9642639
40,6000000	1,9712830
40,7000000	1,9776917
40,8000000	1,9847107
40,9000000	1,9915771
41,0000000	1,9978333
41,1000000	2,0046997
41,2000000	2,0112610
41,3000000	2,0179749
41,4000000	2,0249939
41,5000000	2,0312500
41,6000000	2,0379639
41,7000000	2,0445251
41,8000000	2,0504761
41,9000000	2,0571899
42,0000000	2,0643616
42,1000000	2,0703125
42,2000000	2,0770264
42,3000000	2,0848083
42,4000000	2,0912170
42,5000000	2,0970154
42,6000000	2,1043396
42,7000000	2,1099854
42,8000000	2,1160889
42,9000000	2,1229553
43,0000000	2,1286011
43,1000000	2,1351624
43,2000000	2,1417236
43,3000000	2,1478271
43,4000000	2,1540833
43,5000000	2,1604919
43,6000000	2,1667480
43,7000000	2,1730042
43,8000000	2,1791077
43,9000000	2,1855164
44,0000000	2,1917725
44,1000000	2,1981812
44,2000000	2,2041321
44,3000000	2,2103882
44,4000000	2,2163391
44,5000000	2,2225952
44,6000000	2,2290039
44,7000000	2,2348022
44,8000000	2,2410583
44,9000000	2,2473145
45,0000000	2,2529602
45,1000000	2,2589111
45,2000000	2,2657776
45,3000000	2,2715759
45,4000000	2,2779846
45,5000000	2,2840881
45,6000000	2,2898865
45,7000000	2,2962952
45,8000000	2,3017883
45,9000000	2,3078918
46,0000000	2,3141479
46,1000000	2,3200989
46,2000000	2,3265076
46,3000000	2,3324585
46,4000000	2,3381042
46,5000000	2,3440552
46,6000000	2,3501587
46,7000000	2,3558044
46,8000000	2,3616028
46,9000000	2,3681641
47,0000000	2,3738098
47,1000000	2,3797607
47,2000000	2,3857117
47,3000000	2,3913574
47,4000000	2,3974609
47,5000000	2,4035645
47,6000000	2,4093628
47,7000000	2,4150085
47,8000000	2,4211121
47,9000000	2,4269104
48,0000000	2,4328613
48,1000000	2,4386597
48,2000000	2,4441528
48,3000000	2,4501038
48,4000000	2,4559021
48,5000000	2,4615479
48,6000000	2,4676514
48,7000000	2,4732971
48,8000000	2,4790955
48,9000000	2,4848938
49,0000000	2,4908447
49,1000000	2,4963379
49,2000000	2,5027466
49,3000000	2,5080872
49,4000000	2,5138855
49,5000000	2,5196838
49,6000000	2,5257874
49,7000000	2,5309753
49,8000000	2,5367737
49,9000000	2,5427246
50,0000000	2,5483704
50,1000000	2,5546265
50,2000000	2,5598145
50,3000000	2,5662231
50,4000000	2,5720215
50,5000000	2,5773621
50,6000000	2,5828552
50,7000000	2,5881958
50,8000000	2,5933838
50,9000000	2,5993347
51,0000000	2,6052856
51,1000000	2,6107788
51,2000000	2,6164246
51,3000000	2,6220703
51,4000000	2,6272583
51,5000000	2,6336670
51,6000000	2,6393127
51,7000000	2,6446533
51,8000000	2,6499939
51,9000000	2,6557922
52,0000000	2,6608276
52,1000000	2,6666260
52,2000000	2,6724243
52,3000000	2,6776123
52,4000000	2,6837158
52,5000000	2,6887512
52,6000000	2,6940918
52,7000000	2,7000427
52,8000000	2,7053833
52,9000000	2,7104187
53,0000000	2,7166748
53,1000000	2,7215576
53,2000000	2,7273560
53,3000000	2,7328491
53,4000000	2,7378845
53,5000000	2,7435303
53,6000000	2,7488708
53,7000000	2,7545166
53,8000000	2,7597046
53,9000000	2,7651978
54,0000000	2,7705383
54,1000000	2,7760315
54,2000000	2,7816772
54,3000000	2,7867126
54,4000000	2,7920532
54,5000000	2,7973938
54,6000000	2,8027344
54,7000000	2,8082275
54,8000000	2,8131104
54,9000000	2,8186035
55,0000000	2,8239441
55,1000000	2,8291321
55,2000000	2,8343201
55,3000000	2,8398132
55,4000000	2,8446960
55,5000000	2,8498840
55,6000000	2,8558350
55,7000000	2,8608704
55,8000000	2,8659058
55,9000000	2,8707886
56,0000000	2,8761292
56,1000000	2,8811646
56,2000000	2,8865051
56,3000000	2,8915405
56,4000000	2,8968811
56,5000000	2,9022217
56,6000000	2,9067993
56,7000000	2,9116821
56,8000000	2,9167175
56,9000000	2,9216003
57,0000000	2,9269409
57,1000000	2,9321289
57,2000000	2,9365540
57,3000000	2,9420471
57,4000000	2,9469299
57,5000000	2,9516602
57,6000000	2,9563904
57,7000000	2,9614258
57,8000000	2,9661560
57,9000000	2,9710388
58,0000000	2,9757690
58,1000000	2,9806519
58,2000000	2,9858398
58,3000000	2,9905701
58,4000000	2,9956055
58,5000000	3,0001831
58,6000000	3,0039978
58,7000000	3,0082703
58,8000000	3,0133057
58,9000000	3,0177307
59,0000000	3,0226135
59,1000000	3,0268860
59,2000000	3,0311584
59,3000000	3,0360413
59,4000000	3,0401611
59,5000000	3,0442810
59,6000000	3,0493164
59,7000000	3,0535889
59,8000000	3,0574036
59,9000000	3,0624390
60,0000000	3,0662537
60,1000000	3,0705261
60,2000000	3,0746460
60,3000000	3,0787659
60,4000000	3,0825806
60,5000000	3,0873108
60,6000000	3,0908203
60,7000000	3,0947876
60,8000000	3,0987549
60,9000000	3,1027222
61,0000000	3,1066895
61,1000000	3,1105042
61,2000000	3,1137085
61,3000000	3,1176758
61,4000000	3,1213379
61,5000000	3,1243896
61,6000000	3,1280518
